target,task,method,selection_id,clusters_kept,score_metric,score,delta_vs_prev,delta_vs_raw,variant
bout_state,classification,fastica,keep_top_01,1.0,balanced_accuracy_mean,0.4935943563736709,,-0.16586738400596546,fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,fastica,keep_top_02,2.0,balanced_accuracy_mean,0.5021513765228705,0.008557020149199568,-0.1573103638567659,fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,fastica,keep_top_03,3.0,balanced_accuracy_mean,0.5377375489671066,0.03558617244423612,-0.12172419141252977,fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,fastica,keep_top_04,4.0,balanced_accuracy_mean,0.569162950932437,0.03142540196533039,-0.09029878944719938,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,fastica,keep_top_05,5.0,balanced_accuracy_mean,0.6137689001443224,0.04460594921188543,-0.04569284023531395,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,fastica,keep_top_06,6.0,balanced_accuracy_mean,0.6286633947743805,0.014894494630058097,-0.03079834560525585,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_01,1.0,balanced_accuracy_mean,0.6744878527173489,,0.01502611233771256,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_02,2.0,balanced_accuracy_mean,0.6955161095476831,0.021028256830334158,0.03605436916804672,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_03,3.0,balanced_accuracy_mean,0.6679513293016832,-0.027564780245999843,0.008489588922046876,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_04,4.0,balanced_accuracy_mean,0.6276301065628784,-0.040321222738804785,-0.03183163381675791,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_05,5.0,balanced_accuracy_mean,0.6288565266033055,0.0012264200404270564,-0.030605213776330853,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,infomax,keep_top_06,6.0,balanced_accuracy_mean,0.6516017920918776,0.02274526548857214,-0.007859948287758711,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_01,1.0,balanced_accuracy_mean,0.526692580620353,,-0.13276915975928338,jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_02,2.0,balanced_accuracy_mean,0.5332400003394898,0.00654741971913686,-0.12622174004014652,jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_03,3.0,balanced_accuracy_mean,0.5693706724417573,0.0361306721022675,-0.09009106793787902,jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_04,4.0,balanced_accuracy_mean,0.5754924694624297,0.006121797020672393,-0.08396927091720663,jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_05,5.0,balanced_accuracy_mean,0.5886968569255654,0.01320438746313568,-0.07076488345407095,jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,jade,keep_top_06,6.0,balanced_accuracy_mean,0.6008673693957138,0.012170512470148442,-0.058594370983922506,jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_01,1.0,balanced_accuracy_mean,0.5173918824984826,,-0.14206985788115378,sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_02,2.0,balanced_accuracy_mean,0.61910666579072,0.10171478329223749,-0.040355074588916295,sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_03,3.0,balanced_accuracy_mean,0.6074435886034696,-0.011663077187250459,-0.052018151776166754,sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_04,4.0,balanced_accuracy_mean,0.6251124841386664,0.017668895535196794,-0.03434925624096996,sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_05,5.0,balanced_accuracy_mean,0.6267275297645755,0.001615045625909084,-0.03273421061506088,sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence
bout_state,classification,sobi,keep_top_06,6.0,balanced_accuracy_mean,0.6361259151088968,0.009398385344321358,-0.02333582527073952,sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_01,1.0,r2_mean,-1.18651011066213,,1.2034613600506912,fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_02,2.0,r2_mean,-1.4832815342529608,-0.29677142359083075,0.9066899364598604,fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_03,3.0,r2_mean,-1.23031481157203,0.2529667226809309,1.1596566591407913,fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_04,4.0,r2_mean,-1.6211766119095146,-0.39086180033748463,0.7687948588033067,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_05,5.0,r2_mean,-1.8310736812519781,-0.20989706934246355,0.5588977894608431,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,fastica,keep_top_06,6.0,r2_mean,-2.5577161314943693,-0.7266424502423912,-0.16774466078154804,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_01,1.0,r2_mean,0.04322180069353312,,2.4331932714063544,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_02,2.0,r2_mean,0.09357951837375238,0.05035771768021926,2.4835509890865737,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_03,3.0,r2_mean,-0.01660415153911494,-0.11018366991286732,2.373367319173706,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_04,4.0,r2_mean,-0.4437214049299805,-0.4271172533908656,1.9462500657828408,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_05,5.0,r2_mean,-1.0980343424967451,-0.6543129375667647,1.291937128216076,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence
tail_vigor,regression,infomax,keep_top_06,6.0,r2_mean,-1.838515747201265,-0.7404814047045198,0.5514557235115563,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence
