target,task,comparison,train_version,test_version,fold,n_train,n_test,r2,pearson,spearman,rmse,nrmse
tail_vigor,regression,within,raw,raw,0,2536,635,-3.4464551854286825,0.23043210869172806,0.20851311006732703,2.1851962638269065,2.10866194195008
tail_vigor,regression,within,raw,raw,1,2533,635,-2.704441183483703,0.3049377855421166,0.27793964709417807,2.152115609348018,1.9246924906290102
tail_vigor,regression,within,raw,raw,2,2534,634,-2.0878986782035187,0.25034656584190657,0.23594719333448388,1.7411141433090171,1.7572417813731604
tail_vigor,regression,within,raw,raw,3,2533,635,-1.7626421593804888,0.2803292651022801,0.23198899663731204,1.8061660632400083,1.6621197788909468
tail_vigor,regression,within,raw,raw,4,2536,635,-1.9484201470651636,0.18745728295570918,0.18712961517440757,1.6405224921679145,1.717096429169068
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,-1.801367722782322,0.2451475791693577,0.2269938270217946,1.7344770178933007,1.6737286885222236
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,-1.485053346625664,0.2828668768135561,0.2148367084881958,1.7626744265179684,1.5764051974748319
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-2.2747971555645394,0.24236372148438332,0.2530141547116048,1.793031522696646,1.8096400624335602
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-1.6456224556304995,0.33600676970946586,0.3081563810826981,1.767499478852473,1.626536951818341
tail_vigor,regression,within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,-2.6832608911028166,0.2224210472447526,0.24826336893778772,1.833596388439926,1.9191823496225724
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-7.369483219804065,-0.07173187216554859,-0.059292835580237874,2.998008163020736,2.8930059142359292
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-5.539563983762951,-0.08629261124238595,-0.10373869930732334,2.8594245545078176,2.5572571211677073
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,-7.403645681432208,-0.1100200902166281,-0.10421751658239677,2.8722986173291547,2.898904220810375
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,-7.187297736048929,-0.07286048961520679,-0.09092614839051422,3.109321661063533,2.8613454415797004
tail_vigor,regression,within,infomax/cleaned_infomax_220127_F4_run2_fluorescence,infomax/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,-6.954433569069091,-0.025979688815614802,-0.0186966387537675,2.6945865249021663,2.82036053884412
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,-1.5158565384369997,0.25653962718902057,0.2136000669897342,1.643714649881758,1.5861451820173966
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,-1.1273575841315213,0.32107338798563906,0.22905122786194718,1.6308893380481368,1.458546394233492
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-1.554667660136018,0.281132490122895,0.2734980980154211,1.5836635743789476,1.5983327751554173
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-1.228334088510345,0.2885537036486396,0.25711171836757873,1.6221294624269473,1.492760559671358
tail_vigor,regression,transfer_raw_to_clean,raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,4,2536,635,-1.7213666685429954,0.18505304936578243,0.2168944779189236,1.5760900766112622,1.6496565304762674
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,0,2536,635,-3.948821505232882,0.2524995950738958,0.25247450584254816,2.3053368080952508,2.2245946833598436
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,1,2533,635,-2.0659958324884653,0.2649498283508447,0.20815756291435228,1.957897832862686,1.7509985244107047
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,2,2534,634,-4.272517979921138,0.18254559136255413,0.19918687629681472,2.2751223523927,2.2961964157974677
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,3,2533,635,-2.555919507598527,0.3359443926598137,0.32115265388287045,2.0491385381213654,1.885714588053698
tail_vigor,regression,transfer_clean_to_raw,fastica/cleaned_fastica_220127_F4_run2_fluorescence,raw,4,2536,635,-3.658476018743934,0.2023751072336813,0.21137229618271253,2.062098641314944,2.1583503002858304
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,0,2536,635,-2.0337298638916117,0.040667739625922336,0.019465666048883834,1.8049781248524328,1.7417605644552905
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,1,2533,635,-1.4581263108245661,0.041689662072144744,0.030981252770758194,1.7530986013360152,1.5678412900624115
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,2,2534,634,-1.9663675919404922,-0.02025624838561582,-0.009923733304798042,1.706507520146512,1.7223146030677707
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,3,2533,635,-1.3993462503614893,0.06770098798692292,0.020123939946213112,1.683223644710839,1.5489823273238108
tail_vigor,regression,transfer_raw_to_clean,raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,4,2536,635,-1.6961054325703095,0.0036125771971124826,-0.012627144053797843,1.5687579502565543,1.6419821657284557
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,0,2536,635,-11.299385113948867,0.14462915119608294,0.13618023567344056,3.6343369506632994,3.5070479201101414
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,1,2533,635,-8.985340257222532,0.0982008061175837,0.04281711457477157,3.533342032176267,3.1599589011919966
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,2,2534,634,-8.822489577501395,0.09946644677224656,0.12676835668256578,3.1053210760127627,3.134085126077688
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,3,2533,635,-8.695549502765402,0.06146309220397046,0.05172786546524006,3.3836199302918546,3.1137677342353918
tail_vigor,regression,transfer_clean_to_raw,infomax/cleaned_infomax_220127_F4_run2_fluorescence,raw,4,2536,635,-10.939625243260013,0.11777566195565237,0.14346905701747042,3.3012837319906896,3.455376280994592
tail_vigor,regression,null_within,raw,raw,0,2536,635,-4.337208150574792,-0.04680134152721971,-0.016775309643274162,2.5750778603108775,2.3102398469801337
tail_vigor,regression,null_within,raw,raw,1,2533,635,-4.289745491233291,-0.025080071807216206,-0.03681311857761728,2.5637045684205466,2.2999446713417457
tail_vigor,regression,null_within,raw,raw,2,2534,634,-5.8120016050985726,0.11682149772052097,0.08468856031698561,2.5339715436705306,2.609981150333958
tail_vigor,regression,null_within,raw,raw,3,2533,635,-6.188630134876846,-0.029647263667831325,0.005469271070041974,2.7895491554386878,2.6811620866476624
tail_vigor,regression,null_within,raw,raw,4,2536,635,-10.147698902027049,-0.02014686353268834,-0.0003926273373881888,3.14061005656222,3.3388169913948635
tail_vigor,regression,null_within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,0,2536,635,-3.510932871963732,-0.038884208097102975,-0.009888899669561427,2.3673718371142436,2.1238956829288327
tail_vigor,regression,null_within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,1,2533,635,-3.395628229458773,-0.057529194487653784,-0.05316700839663741,2.3370126633490043,2.0965753574481347
tail_vigor,regression,null_within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,2,2534,634,-4.452477538698536,0.06363575061552225,0.03928682855276575,2.267051078595849,2.335054076182934
tail_vigor,regression,null_within,fastica/cleaned_fastica_220127_F4_run2_fluorescence,fastica/cleaned_fastica_220127_F4_run2_fluorescence,3,2533,635,-4.78836149195471,0.004157149450951334,0.01723340784170081,2.5031609316823866,2.405901388659708
