metric,method,selection_id,clusters_kept,target_shift,score,delta_vs_prev,delta_vs_raw,variant,method_label,variant_label
bout_balanced_accuracy,fastica,keep_top_01,1.0,0,0.5264123462316656,,0.0010087899457452698,fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k1
bout_balanced_accuracy,fastica,keep_top_02,2.0,0,0.53288066776686,0.006468321535194499,0.007477111480939769,fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k2
bout_balanced_accuracy,fastica,keep_top_03,3.0,0,0.5364819320737991,0.003601264306939078,0.011078375787878847,fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k3
bout_balanced_accuracy,fastica,keep_top_04,4.0,0,0.5306471075852575,-0.005834824488541668,0.005243551299337179,fastica/keep_top_04/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k4
bout_balanced_accuracy,fastica,keep_top_05,5.0,0,0.5311100542050129,0.0004629466197554333,0.005706497919092612,fastica/keep_top_05/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k5
bout_balanced_accuracy,fastica,keep_top_06,6.0,0,0.5300277410061953,-0.001082313198817575,0.0046241847202750375,fastica/keep_top_06/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k6
bout_balanced_accuracy,infomax,keep_top_01,1.0,0,0.52520075511236,,-0.00020280117356030747,infomax/keep_top_01/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k1
bout_balanced_accuracy,infomax,keep_top_02,2.0,0,0.5269652939323738,0.0017645388200138168,0.0015617376464535093,infomax/keep_top_02/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k2
bout_balanced_accuracy,infomax,keep_top_03,3.0,0,0.5279180648924922,0.0009527709601183654,0.0025145086065718747,infomax/keep_top_03/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k3
bout_balanced_accuracy,infomax,keep_top_04,4.0,0,0.5262535608241024,-0.001664504068389805,0.0008500045381820698,infomax/keep_top_04/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k4
bout_balanced_accuracy,infomax,keep_top_05,5.0,0,0.5261681168559946,-8.544396810772348e-05,0.0007645605700743463,infomax/keep_top_05/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k5
bout_balanced_accuracy,infomax,keep_top_06,6.0,0,0.5237461003709227,-0.0024220164850718984,-0.001657455914997552,infomax/keep_top_06/cleaned_infomax_220127_F4_run2_fluorescence,Infomax,Infomax-k6
bout_balanced_accuracy,jade,keep_top_01,1.0,0,0.5315130062548219,,0.006109449968901615,jade/keep_top_01/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k1
bout_balanced_accuracy,jade,keep_top_02,2.0,0,0.5338881210916577,0.0023751148368358344,0.008484564805737449,jade/keep_top_02/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k2
bout_balanced_accuracy,jade,keep_top_03,3.0,0,0.5282686183953895,-0.005619502696268208,0.0028650621094692408,jade/keep_top_03/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k3
bout_balanced_accuracy,jade,keep_top_04,4.0,0,0.5265058078657963,-0.0017628105295932617,0.001102251579875979,jade/keep_top_04/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k4
bout_balanced_accuracy,jade,keep_top_05,5.0,0,0.5265834696219527,7.76617561564219e-05,0.001179913336032401,jade/keep_top_05/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k5
bout_balanced_accuracy,jade,keep_top_06,6.0,0,0.5252161504912161,-0.0013673191307366217,-0.0001874057947042207,jade/keep_top_06/cleaned_jade_220127_F4_run2_fluorescence,Jade,Jade-k6
bout_balanced_accuracy,sobi,keep_top_01,1.0,0,0.5318892754157593,,0.006485719129838974,sobi/keep_top_01/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k1
bout_balanced_accuracy,sobi,keep_top_02,2.0,0,0.52710775316388,-0.004781522251879222,0.0017041968779597516,sobi/keep_top_02/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k2
bout_balanced_accuracy,sobi,keep_top_03,3.0,0,0.5254416042851389,-0.0016661488787411693,3.804799921858226e-05,sobi/keep_top_03/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k3
bout_balanced_accuracy,sobi,keep_top_04,4.0,0,0.525149104230832,-0.00029250005430681014,-0.0002544520550882279,sobi/keep_top_04/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k4
bout_balanced_accuracy,sobi,keep_top_05,5.0,0,0.5245515688821871,-0.0005975353486449286,-0.0008519874037331565,sobi/keep_top_05/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k5
bout_balanced_accuracy,sobi,keep_top_06,6.0,0,0.5242247316601457,-0.0003268372220414095,-0.001178824625774566,sobi/keep_top_06/cleaned_sobi_220127_F4_run2_fluorescence,Sobi,Sobi-k6
vigor_r2,fastica,keep_top_01,1.0,0,0.002045983002811891,,-0.0009210559793307203,fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k1
vigor_r2,fastica,keep_top_02,2.0,0,0.006389422921974331,0.00434343991916244,0.0034223839398317196,fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k2
vigor_r2,fastica,keep_top_03,3.0,0,0.005839145717701122,-0.0005502772042732086,0.002872106735558511,fastica/keep_top_03/cleaned_fastica_220127_F4_run2_fluorescence,FastICA,FastICA-k3
