variant,target_shift,fold,n_train,n_test,dynamic_mse,angle_r2,angle_pearson,vigor_r2,vigor_pearson,bout_balanced_accuracy,bout_roc_auc
raw,0,0,2527,632,3.0925329227479152,0.023434443833731056,0.15866640715612995,0.00824279859190491,0.10213509669139613,0.5215568862275449,0.5617539115317751
raw,0,1,2523,633,3.0453591252525753,0.02883370672074581,0.1870575707735229,0.003942134353812521,0.07472390423989815,0.5034366662431711,0.5074958709185617
raw,0,2,2524,632,1.0236054851802754,0.03381596598627179,0.19069296058112875,0.009754791444220756,0.15108573641660575,0.5747053751077895,0.5869933889048579
raw,0,3,2523,633,1.4743360917726305,0.0442268851414902,0.21479242308551444,-0.00474685994407964,0.02629768584320422,0.5173884077281812,0.5053031312458361
raw,0,4,2527,632,0.9938749473691842,0.02752501036434296,0.19506192761892216,-0.002357669535145268,0.03997713948298252,0.5099304461229147,0.5044965494756289
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,9.140736247507585,0.02629781606649695,0.17038616348518168,0.004455505087193057,0.10548265107848732,0.5268688429592429,0.5459274998390315
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,1,2523,633,7.188604138722848,0.024671363550026526,0.17423730736570459,0.0025368832299846877,0.07775014841790001,0.5071337822385973,0.5132638800660654
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,2,2524,632,4.016775755263203,0.030053286130003687,0.17618783277041583,0.011230486531517703,0.1582570261515023,0.5805260132221903,0.592742167289451
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,3,2523,633,4.545222003031957,0.03333250458466275,0.18653932760502467,-0.001250277081655593,0.04697483303551936,0.5204130579613591,0.5214923384410393
fastica/keep_top_01/cleaned_fastica_220127_F4_run2_fluorescence,0,4,2527,632,4.020806865900877,0.019165228645427024,0.18217566015546965,-0.006742682752980178,0.007032827975192273,0.49712003477693856,0.4946204423191871
fastica/keep_top_02/cleaned_fastica_220127_F4_run2_fluorescence,0,0,2527,632,6.850097240500024,0.026839190702903748,0.1672562630058994,0.011398744182168241,0.11677610666325355,0.5179511943854227,0.567922220075977
