method,component,ic_variance,ic_std,excess_kurtosis,abs_excess_kurtosis,robust_peak_density,max_abs_robust_z,lag1_autocorr,lag5_autocorr,lag10_autocorr,window_variance_ratio,zero_crossing_rate,spectral_total_power,peak_freq_hz,low_freq_power_ratio,high_freq_power_ratio,spectral_entropy,narrowband_ratio,loading_l1,loading_l2,loading_hoyer_sparsity,max_median_loading_ratio,strong_loading_fraction,behavior_corr_angle,behavior_corr_vigor,behavior_corr_bout_state,max_abs_behavior_corr,artifact_score,protect_score,artifact_flags,protect_flags,recommendation,mean_abs_delta,rms_delta,reference_corr_full,reference_corr_removed,variance_ratio_median_removed,reference_corr_delta,behavior_corr_full_angle,behavior_corr_removed_angle,behavior_corr_delta_angle,behavior_corr_full_vigor,behavior_corr_removed_vigor,behavior_corr_delta_vigor,behavior_corr_full_bout_state,behavior_corr_removed_bout_state,behavior_corr_delta_bout_state
fastica,6,1.0,1.0,39.96723431522601,39.96723431522601,0.015743073047858942,23.337868484688478,0.7914253928013693,0.7067460986284615,0.627945231165614,13.261978537511306,0.351496062992126,43.017830989629175,0.021184800000000004,0.7635567892676997,0.0,0.6535195939614302,100.01333512472264,179.68280617910008,11.536678420997404,0.4804262076858518,29.82591783456495,0.13270142180094788,-0.01345157580396458,-0.011286793469234573,-0.010698761715887935,0.01345157580396458,0.71,0.41333333333333333,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,drop,0.1145184998640647,0.3971088480396265,0.9826328017611705,0.981429197095147,0.6199117987782174,-0.0012036046660235389,-5.953218089406209e-05,0.0022530685859748064,0.0021935364050807444,-0.032785445498228254,-0.031325628229331416,-0.0014598172688968375,-0.04940592518007155,-0.04829125793237247,-0.0011146672476990832
fastica,41,0.9999999999999999,0.9999999999999999,15.484189100030282,15.484189100030282,0.05100755667506297,20.874622716902255,0.9292634140752276,0.9019856061277329,0.8834382696063671,35.51177184555007,0.24031496062992125,18.632300023337407,0.021184800000000004,0.828587769885879,0.0,0.5151593597167252,307.649090450967,253.81120447495206,19.376022165063187,0.5686802757848126,57.415198581528436,0.0971563981042654,-0.045052134562634884,0.006822959140811454,0.0003453125074366529,0.045052134562634884,0.855,0.7466666666666667,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.15248112858854646,0.666950187980822,0.9826328017611705,0.9792339108323069,0.6021684520025894,-0.003398890928863585,-5.953218089406209e-05,-0.002151173348731003,0.002091641167836941,-0.032785445498228254,-0.03250399779042494,-0.00028144770780331313,-0.04940592518007155,-0.04944310857583108,3.7183395759525506e-05
fastica,45,1.0000000000000002,1.0,71.91626836967512,71.91626836967512,0.016687657430730477,30.532829928958602,0.8968906926337056,0.8163842719206251,0.7133726823487759,21.40044110180919,0.33448818897637794,48.34698360296409,0.04236960000000001,0.911153174063726,0.0,0.5277500246788084,306.5369198258693,240.60421099607703,16.75669578102364,0.5237828338292386,50.5490001685204,0.1481042654028436,0.01727319859478433,0.039178076403450925,0.02035170862207212,0.039178076403450925,0.8483333333333333,0.7533333333333333,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.12265580882999885,0.5767892556007882,0.9826328017611705,0.9800918590560102,0.6056787065394722,-0.002540942705160365,-5.953218089406209e-05,0.003622641794941838,0.003563109614047776,-0.032785445498228254,-0.025167895704355604,-0.007617549793872649,-0.04940592518007155,-0.046176813515829813,-0.003229111664241738
fastica,38,1.0000000000000002,1.0,62.15632304072122,62.15632304072122,0.01605793450881612,29.05501641385432,0.9325321446654969,0.8728746336878619,0.7670880377353305,21.55052396554485,0.2929133858267717,39.80917896601892,0.021184800000000004,0.9344765283816099,0.0,0.4700058132947871,482.96980147469225,247.1328238116638,15.580816195314192,0.47021519248931704,35.468308499207446,0.08886255924170616,0.051568219278465714,0.03979815014730413,0.04505069479167241,0.051568219278465714,0.8383333333333334,0.8533333333333334,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.12916095918244214,0.5363138110512969,0.9826328017611705,0.9804363468511649,0.613890248384102,-0.0021964549100056407,-5.953218089406209e-05,0.006851559032903133,0.0067920268520090706,-0.032785445498228254,-0.027744512809190113,-0.0050409326890381405,-0.04940592518007155,-0.043809618764248374,-0.005596306415823177
fastica,48,1.0000000000000002,1.0,87.24033389051081,87.24033389051081,0.01322418136020151,35.331221407938514,0.9435206354021358,0.8015330036638696,0.6065338017797891,21.754556452718383,0.2658267716535433,50.81453405994501,0.04236960000000001,0.953142318948226,0.0,0.5421245625251924,469.2603568596324,287.1482308535089,21.17934086952484,0.5523283894447045,46.18817325395117,0.1457345971563981,-0.001649732782198928,-0.036361102718465765,-0.023124248913753993,0.036361102718465765,0.835,0.7799999999999999,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.14360695894334197,0.7290229776733658,0.9826328017611705,0.9785704290917876,0.5748628516830558,-0.004062372669382919,-5.953218089406209e-05,0.00036254558736690737,0.00030301340647284527,-0.032785445498228254,-0.024505518742626405,-0.008279926755601848,-0.04940592518007155,-0.04506830684199234,-0.004337618338079212
fastica,47,0.9999999999999999,0.9999999999999999,27.20578930546116,27.20578930546116,0.015428211586901764,15.530370296033626,0.85992022519327,0.8065597464978114,0.7252292941199385,11.182839029017137,0.28566929133858265,34.35356304869676,0.021184800000000004,0.8383264103497822,0.0,0.5680956439801099,204.4615834396726,172.749090470029,10.99914628451501,0.47576463528453933,30.506689075543242,0.09004739336492891,0.04154593365676677,0.03141740436044202,0.01905526390597288,0.04154593365676677,0.7483333333333334,0.6933333333333334,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1178182020038751,0.37860622885295525,0.9826328017611705,0.9815388050692527,0.613057727116687,-0.0010939966919177868,-5.953218089406209e-05,0.0029784559992623227,0.0029189238183682607,-0.032785445498228254,-0.030575516791676357,-0.0022099287065518967,-0.04940592518007155,-0.0481443887252522,-0.0012615364548193495
fastica,13,1.0,1.0,18.825208020312587,18.825208020312587,0.020780856423173802,13.753113660937014,0.8829196163344072,0.8386696690011051,0.7890981696000785,9.144969415406168,0.26393700787401575,30.335032462712427,0.021184800000000004,0.8420116254311113,0.0,0.5248405803415318,268.7471662316716,216.81750549114435,12.30539587853272,0.4075324179352599,22.720225788428937,0.11611374407582939,-0.021817188218360616,0.051036787161500556,0.05550265018755485,0.05550265018755485,0.7383333333333334,0.8066666666666666,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1502722829800762,0.42356919415399863,0.9826328017611705,0.9812633392603494,0.6183982238967816,-0.0013694625008211503,-5.953218089406209e-05,-0.002927779187765266,0.002868247006871204,-0.032785445498228254,-0.02635898645676494,-0.006426459041463314,-0.04940592518007155,-0.04253542111424895,-0.006870504065822604
fastica,33,1.0,1.0,18.70619276567154,18.70619276567154,0.02707808564231738,14.023444674816893,0.8753903689186697,0.8375853349739172,0.7951467680110689,15.84453973158016,0.30173228346456693,32.45241550882564,0.021184800000000004,0.8422537158599063,0.0,0.5313303166361333,263.09246164420426,356.0755653263615,20.54124290153982,0.4176938366388791,20.70771992870543,0.12085308056872038,-0.04119443384266671,-0.03660082604052782,-0.011508662924228677,0.04119443384266671,0.7383333333333333,0.7200000000000001,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.22670070535404324,0.7070587398090454,0.9826328017611705,0.9788119971647647,0.5990096013520207,-0.003820804596405769,-5.953218089406209e-05,-0.012333061743803123,0.01227352956290906,-0.032785445498228254,-0.0451116970412411,0.012326251543012846,-0.04940592518007155,-0.05497946813565126,0.005573542955579706
fastica,4,0.9999999999999997,0.9999999999999998,31.977583985000074,31.977583985000074,0.01920654911838791,19.80996240491994,0.8683750542734858,0.826006488843689,0.7721442341740365,16.799880784542022,0.31181102362204727,32.790535484428105,0.021184800000000004,0.8429605626545661,0.0,0.5398571785303168,195.62353052704898,331.6059772457661,18.096392733335968,0.3824104155224704,16.615498034416582,0.10545023696682465,-0.018501644024981893,0.03167371104802209,0.013815139069131593,0.03167371104802209,0.7216666666666667,0.6533333333333333,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.20755458775753197,0.6229035264542311,0.9826328017611705,0.9796686818069127,0.5911316654384495,-0.0029641199542578267,-5.953218089406209e-05,0.005405729276444995,0.005346197095550933,-0.032785445498228254,-0.043547754133139834,0.01076230863491158,-0.04940592518007155,-0.055601087266857106,0.006195162086785555
fastica,14,0.9999999999999999,0.9999999999999999,17.313748766138453,17.313748766138453,0.020151133501259445,12.693357553141801,0.8459045663234495,0.8070658699428416,0.7418036560910042,10.345484606051366,0.30015748031496065,35.57797663107583,0.021184800000000004,0.8238323011636614,0.0,0.5481781472089888,206.7601270479615,277.34302688651155,15.352737073955947,0.39166817621390243,15.881192318839734,0.11848341232227488,-0.002495741889822997,0.016360635254164358,0.03019279984706847,0.03019279984706847,0.6716666666666667,0.5733333333333334,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1953346499296003,0.5284630039264647,0.9826328017611705,0.9805002510316789,0.6143438350341553,-0.002132550729491589,-5.953218089406209e-05,-0.0007459586444079981,0.0006864264635139361,-0.032785445498228254,-0.029509838781737054,-0.0032756067164912,-0.04940592518007155,-0.04295141572698846,-0.006454509453083089
