method,component,ic_variance,ic_std,excess_kurtosis,abs_excess_kurtosis,robust_peak_density,max_abs_robust_z,lag1_autocorr,lag5_autocorr,lag10_autocorr,window_variance_ratio,zero_crossing_rate,spectral_total_power,peak_freq_hz,low_freq_power_ratio,high_freq_power_ratio,spectral_entropy,narrowband_ratio,loading_l1,loading_l2,loading_hoyer_sparsity,max_median_loading_ratio,strong_loading_fraction,behavior_corr_angle,behavior_corr_vigor,behavior_corr_bout_state,max_abs_behavior_corr,artifact_score,protect_score,artifact_flags,protect_flags,recommendation,mean_abs_delta,rms_delta,reference_corr_full,reference_corr_removed,variance_ratio_median_removed,reference_corr_delta,behavior_corr_full_angle,behavior_corr_removed_angle,behavior_corr_delta_angle,behavior_corr_full_vigor,behavior_corr_removed_vigor,behavior_corr_delta_vigor,behavior_corr_full_bout_state,behavior_corr_removed_bout_state,behavior_corr_delta_bout_state
jade,21,0.9996851385390428,0.9998425568753526,41.91304537980543,41.91304537980543,0.015113350125944584,22.947986386157492,0.790112743753808,0.7053408212457513,0.6212130959528592,12.596115132959648,0.34078740157480314,44.31809179080757,0.021184800000000004,0.7672927069817713,0.0,0.6523830843219648,97.39164406740477,172.39484679679035,10.965372168720588,0.4751918020407463,29.2644902746744,0.1338862559241706,-0.009595068586123008,-0.0033753405581994343,-0.004223710258565952,0.009595068586123008,0.7283333333333334,0.40666666666666673,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,drop,0.11118798351616133,0.3773842499318634,0.9826328017611705,0.9815458594831628,0.621263020169389,-0.001086942278007763,-5.9532180894329665e-05,0.0013306725378648436,0.001271140356970514,-0.032785445498228295,-0.03263882188228766,-0.00014662361594063728,-0.0494059251800716,-0.04931002855318603,-9.589662688556932e-05
jade,0,0.9996851385390408,0.9998425568753516,16.996940181997022,16.996940181997022,0.047544080604534,21.820021222316967,0.9329433477090935,0.9001714358262265,0.8795842033479953,31.689914665712788,0.22708661417322834,20.269956260675038,0.021184800000000004,0.8506230889863065,0.0,0.49352407963160777,362.6354729998431,225.28194073512168,18.296408597555878,0.59671200583941,66.04280005848814,0.09597156398104266,-0.028235769400901306,0.025455228508150553,0.018276350717393877,0.028235769400901306,0.8616666666666667,0.6733333333333333,bursty;heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.13582309808810178,0.6296892005847119,0.9826328017611705,0.979603649672527,0.603288477833922,-0.0030291520886435164,-5.9532180894329665e-05,-0.0015214275110335546,0.001461895330139225,-0.032785445498228295,-0.03151149167322717,-0.0012739538250011243,-0.0494059251800716,-0.048525893684674096,-0.0008800314953975041
jade,5,0.9996851385390447,0.9998425568753536,76.44754873304501,76.44754873304501,0.015428211586901764,32.49433206327666,0.9057540627763572,0.8182483643490166,0.6994200699617596,18.37624200703001,0.2894488188976378,49.1036827757816,0.04236960000000001,0.919399269047797,0.0,0.5260871599064457,337.1282050684697,264.3911239702441,18.30415155199969,0.5207300786930515,54.5003287651791,0.15402843601895735,0.008276899824357272,0.022788151958595782,0.013700528717734393,0.022788151958595782,0.8533333333333332,0.6666666666666666,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.13948195540135064,0.629955682105821,0.9826328017611705,0.9796010813158749,0.6024932235652274,-0.003031720445295649,-5.9532180894329665e-05,0.0022384587689280354,0.002178926588033706,-0.032785445498228295,-0.027694896398992457,-0.005090549099235838,-0.0494059251800716,-0.047470836894603345,-0.0019350882854682547
jade,4,0.999685138539043,0.9998425568753527,89.53130119800868,89.53130119800868,0.01322418136020151,37.23262985714266,0.9491957215303404,0.8090886581561715,0.6132955350686315,23.440432268344953,0.255748031496063,50.591702284433985,0.04236960000000001,0.9582622122738061,0.0,0.5365088388389738,521.8383243627991,286.87760742835803,21.366812915516,0.5570205410321757,47.627801050606905,0.1504739336492891,-0.01171099896947088,-0.04163836045384473,-0.030882529792436574,0.04163836045384473,0.8433333333333334,0.7666666666666666,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1417463033526209,0.7353602359761298,0.9826328017611705,0.9784993454336729,0.5749016661239434,-0.00413345632749762,-5.9532180894329665e-05,0.0030315982531002638,0.002972066072205934,-0.032785445498228295,-0.02291201249237808,-0.009873433005850214,-0.0494059251800716,-0.042943347706428575,-0.006462577473643025
jade,6,0.9996851385390421,0.9998425568753523,66.35094748099127,66.35094748099127,0.01353904282115869,29.240590455990326,0.931262188247775,0.863333375735125,0.734091409058156,17.292598759817672,0.2951181102362205,40.60169552686952,0.021184800000000004,0.9349385033281478,0.0,0.4821190613433055,454.72183245339033,219.68923702384282,14.36324990082474,0.49039655382159053,39.77652265508989,0.09834123222748815,-0.049281928192368145,-0.04339840966620176,-0.04494762929162171,0.049281928192368145,0.8233333333333333,0.7799999999999999,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.11665830816966324,0.4943256103854704,0.9826328017611705,0.9807671207936947,0.6171713261435237,-0.0018656809674758579,-5.9532180894329665e-05,0.0059551660588618195,0.0058956338779674895,-0.032785445498228295,-0.027731731682816518,-0.005053713815411778,-0.0494059251800716,-0.0442864651681118,-0.0051194600119598005
jade,8,0.999685138539041,0.9998425568753517,29.25396541069989,29.25396541069989,0.015743073047858942,17.241533606425346,0.8947917064912193,0.8415004874317141,0.762555661616847,12.259125300930961,0.25354330708661416,31.37291195851238,0.021184800000000004,0.8678001468971164,0.0,0.538698499253303,258.9820167189947,177.41675509939506,11.345142078404745,0.4781729134271529,30.927907980218425,0.0924170616113744,-0.038349956420376606,-0.03282028995558467,-0.01669727096512333,0.038349956420376606,0.7916666666666666,0.6933333333333334,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.11813945281201453,0.39045441119111096,0.9826328017611705,0.9814692209448003,0.6145693553478933,-0.0011635808163702466,-5.9532180894329665e-05,0.0018170211431290304,0.0017574889622347007,-0.032785445498228295,-0.031218640588383324,-0.0015668049098449717,-0.0494059251800716,-0.04864797479514201,-0.0007579503849295885
jade,12,0.9996851385390443,0.9998425568753534,33.442812013643646,33.442812013643646,0.017947103274559194,20.120130739110138,0.87630214159168,0.8300375784939827,0.7714027872946158,17.318466952046766,0.29669291338582676,33.96368812780455,0.021184800000000004,0.8571987927205924,0.0,0.5273810555518474,209.29272903668755,316.67393082603996,17.771919806284085,0.4004358657044638,17.909487119087416,0.11255924170616113,0.02092882146640544,-0.03338188578024185,-0.01878542405988434,0.03338188578024185,0.7583333333333333,0.6666666666666666,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1985022260370019,0.611638394278622,0.9826328017611705,0.9797750787764897,0.5944923436614336,-0.0028577229846807883,-5.9532180894329665e-05,0.005904386151786158,0.0058448539708918276,-0.032785445498228295,-0.0436079799171595,0.010822534418931204,-0.0494059251800716,-0.05672953438130136,0.007323609201229757
jade,1,0.9996851385390434,0.999842556875353,18.463208690694255,18.463208690694255,0.017947103274559194,13.491059796081442,0.8054845699988834,0.7272058317087577,0.6804770841066271,9.417872283035107,0.30992125984251967,42.34851163775103,0.021184800000000004,0.8038701023969288,0.0,0.6123870773231163,156.05437831120227,278.5437946124123,17.19211169739151,0.4580774406353909,27.73930519441036,0.1386255924170616,0.02274878099034829,0.05299129449744005,0.01753245738744859,0.05299129449744005,0.7483333333333334,0.6266666666666666,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.19991997795620686,0.5916837183303665,0.9826328017611705,0.9799587535085126,0.6115284127041716,-0.0026740482526579346,-5.9532180894329665e-05,-0.006368432950808959,0.006308900769914629,-0.032785445498228295,-0.04871281856623328,0.015927373068004985,-0.0494059251800716,-0.056129903898765224,0.006723978718693624
jade,13,0.9996851385390431,0.9998425568753527,24.86250946350473,24.86250946350473,0.017947103274559194,14.648221354128436,0.8289949369698749,0.789340478253513,0.7312554387425486,10.69199602310016,0.32881889763779526,42.43269307797684,0.021184800000000004,0.838426928017008,0.0,0.5392403437591442,183.51725056748774,330.89562583246163,19.204982482077853,0.4214365375724848,21.14137032141895,0.12322274881516587,0.06308421851201494,0.061933742404805724,0.050029472693906826,0.06308421851201494,0.7383333333333334,0.7066666666666667,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.22408759568405406,0.6609586795082001,0.9826328017611705,0.9792948076268219,0.6003326391322514,-0.003337994134348654,-5.9532180894329665e-05,-0.021538693830061878,0.02147916164916755,-0.032785445498228295,-0.055717330028530423,0.022931884530302128,-0.0494059251800716,-0.06922193422951418,0.019816009049442584
jade,11,0.9996851385390434,0.999842556875353,16.6280354380792,16.6280354380792,0.01952141057934509,12.384262387059469,0.8561561545313559,0.8067039463812561,0.7677532147569355,8.99361887463649,0.26803149606299215,29.413057386579965,0.021184800000000004,0.7951128075382349,0.0,0.5800584760512814,199.32654831912956,203.30280420559365,11.546497919770346,0.40797434449905984,23.7545570480593,0.0995260663507109,0.004778690800240887,-0.07454386887167125,-0.07634848103980557,0.07634848103980557,0.735,0.7399999999999999,heavy_tailed;nonstationary;concentrated_loading,slow_calcium_band;autocorrelated,review,0.1450641521865274,0.39738427385276537,0.9826328017611705,0.9814275259040529,0.6199596173304884,-0.0012052758571176048,-5.9532180894329665e-05,-0.0008914292578467439,0.0008318970769524142,-0.032785445498228295,-0.02031446435037198,-0.012470981147856317,-0.0494059251800716,-0.03687055955636628,-0.012535365623705323
